exp_id,dataset,model_name,reference_model,dtype,num_classes,max_length,n_train,clean_test_size,asr_test_size,batch_size,epochs,lr,lora_r,lora_alpha,lora_dropout,trigger,trigger_label,insert_position,poisoned_portion,n_poisoned_train,onion_threshold,clean_baseline_test_acc,undef_test_acc,undef_asr,def_test_acc_purified,def_test_acc_raw,def_asr,trigger_removal_rate,mean_words_removed,clean_train_runtime_sec,undef_train_runtime_sec,def_train_runtime_sec,onion_purify_runtime_sec,timestamp
2,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.001,67,0.0,95.87155963302752,95.87155963302752,100.0,93.69266055045871,94.83944954128441,10.74766355140187,1.0,2.4626168224299065,18646.62,18621.34,18637.18,7680.1,2026-07-15T13:22:11
1,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.01,673,0.0,95.9862385321101,95.29816513761467,100.0,94.03669724770643,95.64220183486239,7.710280373831775,1.0,2.485981308411215,18534.36,18546.26,18534.57,7525.03,2026-07-15T13:59:25
2,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.01,673,0.0,95.87155963302752,96.78899082568807,100.0,93.69266055045871,95.06880733944953,10.046728971962617,1.0,2.4626168224299065,18702.04,18709.72,18703.48,7594.38,2026-07-15T14:10:11
3,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.001,67,0.0,95.06880733944953,95.52752293577981,93.69158878504673,94.38073394495413,95.06880733944953,6.775700934579439,1.0,2.4485981308411215,18671.21,18672.57,18678.33,7663.54,2026-07-15T14:11:00
3,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.01,673,0.0,95.06880733944953,95.18348623853211,100.0,94.72477064220183,95.9862385321101,4.906542056074766,1.0,2.4485981308411215,18654.32,18660.15,18651.32,7525.98,2026-07-15T14:11:21
4,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.001,67,0.0,95.87155963302752,95.9862385321101,99.06542056074767,94.03669724770643,95.29816513761467,7.4766355140186915,1.0,2.5490654205607477,18690.09,18679.15,18691.72,7666.05,2026-07-15T14:11:59
1,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.001,67,0.0,95.75688073394495,95.9862385321101,98.83177570093459,94.26605504587155,94.61009174311927,8.177570093457945,1.0,2.485981308411215,20074.97,20179.15,20145.19,7843.32,2026-07-15T14:16:19
4,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.01,673,0.0,95.87155963302752,95.18348623853211,100.0,93.92201834862385,95.9862385321101,7.009345794392523,1.0,2.5490654205607477,18652.84,18647.97,18644.33,7491.12,2026-07-16T07:04:14
1,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.02,1346,0.0,95.9862385321101,95.75688073394495,99.76635514018692,93.11926605504587,95.18348623853211,7.94392523364486,1.0,2.485981308411215,18550.46,18546.51,18541.0,7458.22,2026-07-16T07:35:45
4,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.02,1346,0.0,95.87155963302752,95.9862385321101,100.0,92.54587155963303,94.83944954128441,7.242990654205608,1.0,2.5490654205607477,18638.01,18635.55,18635.47,7495.71,2026-07-16T07:52:51
3,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.02,1346,0.0,95.06880733944953,95.64220183486239,100.0,94.61009174311927,95.64220183486239,4.4392523364485985,1.0,2.4485981308411215,18684.42,18676.49,18678.82,7520.05,2026-07-16T07:55:14
2,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.02,1346,0.0,95.87155963302752,95.52752293577981,100.0,95.06880733944953,95.9862385321101,7.009345794392523,1.0,2.4626168224299065,18715.8,18717.39,18704.27,7549.79,2026-07-16T07:56:29
1,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.05,3367,0.0,95.9862385321101,95.9862385321101,100.0,93.34862385321101,95.41284403669725,6.308411214953271,1.0,2.485981308411215,18689.68,18677.49,18677.85,7543.14,2026-07-16T07:56:34
2,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.05,3367,0.0,96.3302752293578,95.41284403669725,100.0,94.15137614678899,95.18348623853211,8.177570093457945,1.0,2.4626168224299065,20137.74,20172.13,20093.05,7790.87,2026-07-16T09:18:11
3,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.05,3367,0.0,95.06880733944953,94.38073394495413,100.0,93.80733944954129,94.03669724770643,4.4392523364485985,1.0,2.4485981308411215,18640.12,18653.17,18673.48,7815.46,2026-07-17T00:52:01
4,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.05,3367,0.0,95.87155963302752,95.9862385321101,100.0,92.31651376146789,94.95412844036697,9.345794392523365,1.0,2.5490654205607477,18543.64,18553.45,18565.07,7950.61,2026-07-17T01:20:43
0,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.001,67,0.0,95.75688073394495,94.03669724770643,99.76635514018692,94.72477064220183,95.52752293577981,7.009345794392523,0.9976635514018691,2.5163551401869158,18778.21,18793.17,18817.08,6898.41,2026-07-12T14:40:18
0,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.01,673,0.0,95.75688073394495,95.52752293577981,99.76635514018692,92.77522935779817,94.72477064220183,10.74766355140187,0.9976635514018691,2.5163551401869158,18778.21,18747.87,18732.35,6910.57,2026-07-13T03:03:19
0,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.02,1346,0.0,95.75688073394495,94.95412844036697,100.0,94.38073394495413,95.75688073394495,7.242990654205608,0.9976635514018691,2.5163551401869158,18778.21,18727.65,19196.33,6906.35,2026-07-13T15:34:47
0,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.05,3367,0.0,95.75688073394495,93.23394495412845,100.0,92.20183486238533,93.69266055045871,13.317757009345794,0.9976635514018691,2.5163551401869158,18778.21,19272.42,18784.92,7562.66,2026-07-14T04:18:19
0,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.0001,6,0.0,96.55963302752293,95.75688073394495,33.87850467289719,93.46330275229357,94.61009174311927,10.280373831775702,0.9976635514018691,2.5163551401869158,18667.74,18671.05,18640.17,8006.48,2026-07-17T21:46:32
1,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.0001,6,0.0,95.9862385321101,95.18348623853211,14.018691588785046,93.46330275229357,95.75688073394495,8.411214953271028,1.0,2.485981308411215,18713.98,18702.14,18683.41,7931.03,2026-07-17T22:02:09
2,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.0001,6,0.0,95.87155963302752,94.61009174311927,16.588785046728972,94.15137614678899,95.18348623853211,8.411214953271028,1.0,2.4626168224299065,18691.43,18692.17,18685.37,7972.22,2026-07-17T22:03:06
3,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.0001,6,0.0,95.06880733944953,95.18348623853211,2.102803738317757,93.34862385321101,93.11926605504587,5.607476635514018,1.0,2.4485981308411215,18721.58,18715.59,18695.09,7901.53,2026-07-17T22:05:32
4,sst2,meta-llama/Llama-3.2-3B,gpt2,float32,2,128,67349,872,428,16,3,0.0002,8,16,0.05,cf,1,random,0.0001,6,0.0,96.10091743119266,96.21559633027523,29.439252336448597,93.11926605504587,95.41284403669725,6.542056074766355,1.0,2.5490654205607477,20153.19,20115.14,20055.59,7769.17,2026-07-18T01:56:11
